policyId,month,netR
pair_14d_max2_direction1_loss21d,2021-11,-1.76628
pair_14d_max2_direction1_loss21d,2021-12,0.55888
pair_14d_max2_direction1_loss21d,2022-01,2.724835
pair_14d_max2_direction1_loss21d,2022-02,3.848352
pair_14d_max2_direction1_loss21d,2022-03,2.698327
pair_14d_max2_direction1_loss21d,2022-04,3.367704
pair_14d_max2_direction1_loss21d,2022-05,-1.654905
pair_14d_max2_direction1_loss21d,2022-06,1.805486
pair_14d_max2_direction1_loss21d,2022-07,1.839671
pair_14d_max2_direction1_loss21d,2022-08,5.694501
pair_14d_max2_direction1_loss21d,2022-09,0.643812
pair_14d_max2_direction1_loss21d,2022-10,0.455919
pair_14d_max2_direction1_loss21d,2022-11,0.196202
pair_14d_max2_direction1_loss21d,2022-12,-0.592902
pair_14d_max2_direction1_loss21d,2023-01,0.151105
pair_14d_max2_direction1_loss21d,2023-02,-1.797704
pair_14d_max2_direction1_loss21d,2023-03,-0.049845
pair_14d_max2_direction1_loss21d,2023-04,4.371288
pair_14d_max2_direction1_loss21d,2023-05,2.806988
pair_14d_max2_direction1_loss21d,2023-06,6.245387
pair_14d_max2_direction1_loss21d,2023-07,1.408304
pair_14d_max2_direction1_loss21d,2023-08,-3.925375
pair_14d_max2_direction1_loss21d,2023-09,-2.275054
pair_14d_max2_direction1_loss21d,2023-10,3.825947
pair_14d_max2_direction1_loss21d,2023-11,0.831004
pair_14d_max2_direction1_loss21d,2023-12,-1.357388
pair_14d_max2_direction1_loss21d,2024-01,-3.577962
pair_14d_max2_direction1_loss21d,2024-02,1.438529
pair_14d_max2_direction1_loss21d,2024-03,0.642571
pair_14d_max2_direction1_loss21d,2024-04,2.7479
pair_14d_max2_direction1_loss21d,2024-05,0.967569
pair_14d_max2_direction1_loss21d,2024-06,-5.985177
pair_14d_max2_direction1_loss21d,2024-07,-2.242987
pair_14d_max2_direction1_loss21d,2024-08,3.750256
pair_14d_max2_direction1_loss21d,2024-09,0.533291
pair_14d_max2_direction1_loss21d,2024-10,-1.6982
pair_14d_max2_direction1_loss21d,2024-11,5.959739
pair_14d_max2_direction1_loss21d,2024-12,2.484638
pair_14d_max2_direction1_loss21d,2025-01,1.675328
pair_14d_max2_direction1_loss21d,2025-02,1.697752
pair_14d_max2_direction1_loss21d,2025-03,2.841737
pair_14d_max2_direction1_loss21d,2025-04,-0.270762
pair_14d_max2_direction1_loss21d,2025-05,1.373908
pair_14d_max2_direction1_loss21d,2025-06,-1.364512
pair_14d_max2_direction1_loss21d,2025-07,-0.34781
pair_14d_max2_direction1_loss21d,2025-08,-2.887635
pair_14d_max2_direction1_loss21d,2025-09,-3.007311
pair_14d_max2_direction1_loss21d,2025-10,-0.314917
pair_14d_max2_direction1_loss21d,2025-11,2.364643
pair_14d_max2_direction1_loss21d,2025-12,0.950595
pair_14d_max2_direction1_loss21d,2026-01,0.642584
pair_14d_max2_direction1_loss21d,2026-02,1.807476
pair_14d_max2_direction1_loss21d,2026-03,2.510367
pair_14d_max2_direction1_loss21d,2026-04,-0.990735
pair_14d_max2_direction1_loss21d,2026-05,2.686842
pair_14d_max2_direction1_loss21d,2026-06,1.523768
